,datatype,station,attributes,value
2023-01-13T00:00:00,TMAX,GHCND:CIM00085418,",,S,",254
2023-01-13T00:00:00,TMAX,GHCND:CIM00085864,",,S,",188
2023-01-14T00:00:00,TMAX,GHCND:CI000085488,",,S,",206
2023-01-14T00:00:00,TMAX,GHCND:CI000085629,",,S,",310
2023-01-14T00:00:00,TMAX,GHCND:CI000085934,",,S,",163
2023-01-14T00:00:00,TMAX,GHCND:CIM00085574,",,S,",311
2023-01-14T00:00:00,TMAX,GHCND:CIM00085577,",,S,",312
2023-01-14T00:00:00,TMAX,GHCND:CIM00085766,",,S,",240
2023-01-14T00:00:00,TMAX,GHCND:CIM00085864,",,S,",192
2023-01-15T00:00:00,TMAX,GHCND:CI000085469,",,S,",277
2023-01-16T00:00:00,TMAX,GHCND:CI000085442,",,S,",229
2023-01-16T00:00:00,TMAX,GHCND:CI000085488,",,S,",204
2023-01-16T00:00:00,TMAX,GHCND:CI000085799,",,S,",186
2023-01-16T00:00:00,TMAX,GHCND:CI000085934,",,S,",168
2023-01-16T00:00:00,TMAX,GHCND:CIM00085574,",,S,",316
2023-01-16T00:00:00,TMAX,GHCND:CIM00085577,",,S,",320
2023-01-16T00:00:00,TMAX,GHCND:CIM00085672,",,S,",305
2023-01-16T00:00:00,TMAX,GHCND:CIM00085682,",,S,",238
2023-01-16T00:00:00,TMAX,GHCND:CIM00085766,",,S,",252
2023-01-17T00:00:00,TMAX,GHCND:CI000085442,",,S,",230
2023-01-17T00:00:00,TMAX,GHCND:CI000085629,",,S,",318
2023-01-17T00:00:00,TMAX,GHCND:CI000085743,",,S,",254
2023-01-17T00:00:00,TMAX,GHCND:CIM00085418,",,S,",255
2023-01-17T00:00:00,TMAX,GHCND:CIM00085574,",,S,",295
2023-01-17T00:00:00,TMAX,GHCND:CIM00085577,",,S,",293
2023-01-17T00:00:00,TMAX,GHCND:CIM00085682,",,S,",218
2023-01-18T00:00:00,TMAX,GHCND:CI000085442,",,S,",235
2023-01-18T00:00:00,TMAX,GHCND:CI000085488,",,S,",223
2023-01-18T00:00:00,TMAX,GHCND:CIM00085418,",,S,",249
2023-01-19T00:00:00,TMAX,GHCND:CI000085629,",,S,",341
2023-01-19T00:00:00,TMAX,GHCND:CI000085799,",,S,",233
2023-01-19T00:00:00,TMAX,GHCND:CI000085934,",,S,",219
2023-01-19T00:00:00,TMAX,GHCND:CIM00085574,",,S,",321
2023-01-19T00:00:00,TMAX,GHCND:CIM00085577,",,S,",314
2023-01-19T00:00:00,TMAX,GHCND:CIM00085766,",,S,",327
2023-01-19T00:00:00,TMAX,GHCND:CIM00085782,",,S,",303
2023-01-20T00:00:00,TMAX,GHCND:CI000085469,",,S,",279
2023-01-20T00:00:00,TMAX,GHCND:CI000085799,",,S,",235
2023-01-20T00:00:00,TMAX,GHCND:CI000085874,",,S,",309
2023-01-20T00:00:00,TMAX,GHCND:CI000085934,",,S,",178
2023-01-20T00:00:00,TMAX,GHCND:CIM00085766,",,S,",270
2023-01-20T00:00:00,TMAX,GHCND:CIM00085782,",,S,",294
2023-01-20T00:00:00,TMAX,GHCND:CIM00085864,",,S,",328
2023-01-21T00:00:00,TMAX,GHCND:CI000085874,",,S,",257
2023-01-21T00:00:00,TMAX,GHCND:CIM00085864,",,S,",270
2023-01-22T00:00:00,TMAX,GHCND:CI000085442,",,S,",231
2023-01-25T00:00:00,TMAX,GHCND:CI000085488,",,S,",223
2023-01-25T00:00:00,TMAX,GHCND:CI000085743,",,S,",233
2023-01-25T00:00:00,TMAX,GHCND:CIM00085574,",,S,",317
2023-01-25T00:00:00,TMAX,GHCND:CIM00085577,",,S,",321
2023-01-25T00:00:00,TMAX,GHCND:CIM00085782,",,S,",212
2023-01-26T00:00:00,TMAX,GHCND:CI000085488,",,S,",212
2023-01-26T00:00:00,TMAX,GHCND:CI000085629,",,S,",313
2023-01-26T00:00:00,TMAX,GHCND:CI000085743,",,S,",234
2023-01-26T00:00:00,TMAX,GHCND:CI000085799,",,S,",193
2023-01-26T00:00:00,TMAX,GHCND:CI000085874,",,S,",174
2023-01-26T00:00:00,TMAX,GHCND:CI000085934,",,S,",138
2023-01-26T00:00:00,TMAX,GHCND:CIM00085418,",,S,",267
2023-01-26T00:00:00,TMAX,GHCND:CIM00085574,",,S,",317
2023-01-26T00:00:00,TMAX,GHCND:CIM00085577,",,S,",316
2023-01-27T00:00:00,TMAX,GHCND:CI000085442,",,S,",232
2023-01-27T00:00:00,TMAX,GHCND:CI000085488,",,S,",208
2023-01-28T00:00:00,TMAX,GHCND:CI000085469,",,S,",281
2023-01-28T00:00:00,TMAX,GHCND:CI000085488,",,S,",212
